S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
11186,141376,2,KANKADKUA,???????,3,Village Panchayat,4243,
11187,154108,2,KANKALKHEDI,??????????,3,Village Panchayat,4407,
11188,138930,1,KANKANHERU,????????,3,Village Panchayat,4208,
11189,147460,1,KANKAR,?????,3,Village Panchayat,4325,
11190,151614,1,KANKAR,?????,3,Village Panchayat,4378,
11191,151842,1,KANKAR,?????,3,Village Panchayat,4381,
11192,154109,1,KANKAR,?????,3,Village Panchayat,4407,
11193,140316,1,KANKARIA,????????,3,Village Panchayat,4227,
11194,144545,1,KANKARIATALAI,????????????,3,Village Panchayat,4290,
11195,137037,3,KANKARIYA,????????,3,Village Panchayat,4176,
11196,145806,1,KANKARIYA,KANKARIYA,3,Village Panchayat,4306,
11197,146133,2,KANKARIYA,KANKARIYA,3,Village Panchayat,4309,
11198,153636,1,KANKARIYA CHIRAKHAN,,3,Village Panchayat,4401,
11199,145901,1,KANKARIYAMINA,KANKARIYAMINA,3,Village Panchayat,4307,
11200,145902,1,KANKARWAL,KANKARWAL,3,Village Panchayat,4307,
11201,131858,3,KANKDA,??????,3,Village Panchayat,4103,
11202,150872,1,KANKDI,??????,3,Village Panchayat,4368,
11203,146992,1,KANKESHARA,???????,3,Village Panchayat,4320,
11204,147621,1,KANKHER,KANKHER,3,Village Panchayat,4327,
11205,132599,1,KANKI,????,3,Village Panchayat,4113,
11206,137242,1,KANKRAJ,KANKRAJ,3,Village Panchayat,4179,
11207,133217,1,KANKRIYA,????????,3,Village Panchayat,4123,
11208,142484,1,KANKRIYA,????????,3,Village Panchayat,4260,
11209,150592,2,KANKRIYA,????????,3,Village Panchayat,4364,
11210,140392,1,KANKRIYA BORDIYA,????????????????,3,Village Panchayat,4228,
11211,140393,1,KANKRIYAPAL,???????????,3,Village Panchayat,4228,
11212,136868,1,KANKUND,KANKUND,3,Village Panchayat,4174,
11213,132899,1,KANNADGAON,??????????,3,Village Panchayat,4118,
11214,152055,1,KANNAI,?????,3,Village Panchayat,4383,
11215,141662,1,Kannaur,Kannaur,3,Village Panchayat,4248,
