Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249648,Danapur,59578,11,Danapur Nizamat (M) - Ward No.11
249600,Darbhanga,35921,4,Darbhanga (M Corp.) - Ward No.4
249645,Rajgir,36368,3,Rajgir (NP) - Ward No.3
249579,Madhubani,35700,2,Madhubani (M) - Ward No.2
249598,Murliganj,35917,5,Murliganj (NP) - Ward No.5
277098,Bakhtiyarpur,1298641,24,Bakhtiyarpur (M) - Ward No.24
277133,Banmankhi,1298029,6,Banmankhi (NP) - Ward No. 06
276646,Nasriganj,1298411,9,Nasariganj (NP) - Ward No.09
249669,Nokha,36703,4,Nokha (NP) - Ward No.4
249680,Gaya,59957,10,Gaya (M Corp.) - Ward No.10
276429,Harnaut,1298688,8,Harnaut (NP) - Ward No.8
249639,Lakhisarai,3702,17,Lakhisarai (M) - Ward No.17
249627,Naugachhia,71811,8,Naugachhia (NP) - Ward No.8
249644,Islampur,59552,7,Islampur (NP) - Ward No.7
249575,Sitamarhi,35670,15,Sitamarhi (M) - Ward No.15
249673,Makhdumpur,1298833,19,Makhdumpur (NP) - Ward No.19
249590,Kishanganj,35814,7,Kishanganj (M) - Ward No.7
249638,Barahiya,36308,4,Barahiya (NP) - Ward No.4
249614,Dighwara,1298898,15,Dighwara (NP) - Ward No.15
277132,Simari Bakhtiyarpur,1299487,2,Simri Bakhtiyarpur (NP) - Ward No.2
249635,Jamalpur,1299248,33,Jamalpur (M) - Ward No.33
249580,Jhanjharpur,1299204,9,Jhanjharpur (NP) - Ward No.9
249622,Rosera,36181,9,Rosera (NP) - Ward No.9
249682,Sherghati,36843,3,Sherghati (NP) - Ward No.3
249615,Sonepur,1298942,20,Sonepur (NP) - Ward No.20
290025,Aurangabad,1306683,10,Ward No.10
249634,Munger,36264,8,Munger (M Corp.) - Ward No.8
249595,Katihar,62576,25,Katihar (M Corp.) - Ward No.25
249599,Saharsa,59368,14,Saharsa (M) - Ward No.14
265437,Parsa Bazar,1298911,4,Parsa (NP) - Ward No.4
277131,Barauli,1298980,15,Barauli (NP) - Ward No.15
249595,Katihar,62556,5,Katihar (M Corp.) - Ward No.5
249575,Sitamarhi,35662,7,Sitamarhi (M) - Ward No.7
