Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
252259,Nedumangad,1294530,34,PARIYARAM
259707,Karunagappally,1294360,14,PADANAYARKULANGARA
252108,Kasaragod,1294291,37,KADAPPURAM NORTH
252238,Kottayam,76213,36,CHINGAVANAM - Ward No.36
252194,Thrissur,75870,29,EDAKUNNI
272900,Feroke,1294701,30,Puttekkodu West
252255,Kollam,55981,21,Arunootymangalam
252260,Thiruvananthapuram,56357,3,Kattayikonam
252255,Kollam,55968,8,Neeravil
272899,Ramanattukara,1294876,13,Vydyarangadi North
252204,Irinjalakuda,76676,4,Karuvannur South
252220,Kochi,77620,53,Ponnurunni
252260,Thiruvananthapuram,2513147,38,PTP NAGAR
272903,Tirurangadi,1295411,39,Pallippadi
252169,Manjeri,50235,37,MULLAMBARA
252139,Mattannur,75618,2,Porora
252176,Palakkad,77574,43,VADAKKANTHARA EAST
252242,Cherthala,77782,31,Thanneermukkam (OG) - Ward No.31
272911,Sulthanbathery,1294624,28,Poomala
252211,Aluva,1294909,23,MARKET
252233,Thodupuzha,76097,7,V.H.S. - Ward No.7
272900,Feroke,1294695,24,Puthukkuzhippadam
252125,Kannur,1294028,48,Thayatheru
272892,Erattupetta,1293821,20,Town ward - Ward No. 20
272903,Tirurangadi,1295405,33,Venchali
252224,Kalamassery,49588,16,PARAKKATTUMALA
252218,Eloor,1295009,31,AMBEDHKAR WARD
272902,Valanchery,1295441,30,Ambalapparambu
252178,Chittur-Thathamangalam,75815,12,KOSSATHARA
252261,Neyyattinkara,50290,12,MULLARAVILA
252139,Mattannur,75617,1,Mannur
272904,Tanur,1295338,10,Kunnumpuram East
252180,Kunnamkulam,76546,26,INJIKKUNNU
252247,Alappuzha,77881,35,Alappuzha (M) - Ward No.35
272911,Sulthanbathery,1294614,18,Thelampatta
272885,Panoor,1294147,19,Puthiya Nambram East
252215,Paravur,55898,7,KOTTACKAKAM
252226,Maradu,1295156,31,NORTH COLONY
252207,Perumbavoor,75924,20,CHURCH
252181,Chavakkad,77902,4,Kunchery
272910,Mananthavady,1294573,13,Kuruva
252149,Thalassery,56162,21,KUTTIMAKKOOL
252194,Thrissur,75857,16,NETTISSERY
252258,Attingal,50074,8,AVANAVANCHERY
272911,Sulthanbathery,1294610,14,Mandikkunnu
252231,Kothamangalam,76066,2,BLOCK OFFICE
252176,Palakkad,77824,12,PUTHUR SOUTH
252174,Shoranur,76451,4,KULAPPULLI U P SCHOOL
272909,Wadakkanchery,1293923,29,Thiruthiparambu
272912,Parappanangadi,1295315,32,Parappangadi South
252226,Maradu,1295157,32,NORTH PATTUPURACKAL
252261,Neyyattinkara,50281,3,MOONNUKALLINMOODU
272898,Mukkom,1294802,13,Kuttippala
252259,Nedumangad,50254,7,KACHERI
272902,Valanchery,1295437,26,Vadakkummuri
252255,Kollam,56300,50,Kayikulangara
252238,Kottayam,76204,27,PATHINARILCHIRA - Ward No.27
252178,Chittur-Thathamangalam,75809,6,MUTHUKAD
252204,Irinjalakuda,76689,17,Madathikkara
252159,koyilandy,56296,38,THAZHANGADI
252251,Thiruvalla,77965,10,Thiruvalla (M) - Ward No.10
252108,Kasaragod,76302,12,CHALA
252250,Mavelikkara,76641,1,Mavelikkara (M) - Ward No.1
252227,Thrippunithura,75999,7,POST OFFICE
252254,Punalur,49453,17,KARAKKADU
272904,Tanur,1295361,33,Thanoor Central
272909,Wadakkanchery,1293906,12,Kumaranellur
252180,Kunnamkulam,75837,9,AYYAMPARAMB
252111,Payyannur,50434,2,KIZHAKKUMBAD
252252,Pathanamthitta,76746,22,Pathanamthitta (M) - Ward No.22
252205,Chalakudy,76708,14,Power House
272892,Erattupetta,1293819,18,Mattaikkadu - Ward No. 18
252175,Ottappalam,1294296,33,PANAMANNA VAYANASALA
272899,Ramanattukara,1294882,19,Ramanttukara East
252208,Angamaly,75926,1,CHAKKARA PARAMBU
252233,Thodupuzha,76104,14,MUTHALAKODAM - Ward No.14
272884,Sreekandapuram,1294198,23,Kottoor
252251,Thiruvalla,77959,4,Thiruvalla (M) - Ward No.4
252259,Nedumangad,50274,27,MARKET
272908,Pandalam,1294738,29,Puzhikkadu West
272880,Harippad,1305415,17,R K Junction
252125,Kannur,75592,32,Chala
272899,Ramanattukara,1294880,17,Palakkaparambu
272899,Ramanattukara,1294868,5,MeleVaram
252112,Taliparamba,50444,30,KEEZHATOOR
252139,Mattannur,75626,10,Beram
252208,Angamaly,75935,10,VENGOOR NORTH
272889,Kottarakkara,1294408,27,Padinjattinkara
252238,Kottayam,76191,14,MULLENKUZHI - Ward No.14
252172,Tirur,75791,19,PANAMBALAM
252159,koyilandy,56261,3,KODAKKATTU MURI
252233,Thodupuzha,1293972,30,NADUKKANDOM - Ward No.30
259708,Thrikkakara,1295121,22,THANAPADAM
272909,Wadakkanchery,1293932,38,Mundathikode
252207,Perumbavoor,75917,13,KUNNAMPILLY CHIRA
252227,Thrippunithura,76017,25,CHAKKUPARAMBU
252176,Palakkad,77833,21,VADAKUMURI
252252,Pathanamthitta,76749,25,Pathanamthitta (M) - Ward No.25
272880,Harippad,1305423,25,KSRTC
252260,Thiruvananthapuram,2513221,93,PETTAH
252226,Maradu,1295153,28,S V U P S
272912,Parappanangadi,1295323,40,Angadi
252252,Pathanamthitta,76744,20,Pathanamthitta (M) - Ward No.20
252253,Adoor,1294269,23,Adoor (M) - Ward No.23
272911,Sulthanbathery,1294606,10,Kottakkunnu
252260,Thiruvananthapuram,2513168,53,ESTATE
252238,Kottayam,76195,18,MUTTAMBALAM - Ward No.18
252157,Vatakara,49840,28,MEPPAYIL
272899,Ramanattukara,1294885,22,Thirichilangadi
272890,Iritty,1294109,14,Meethale Punnadu
272885,Panoor,1294164,36,Peringalam
252224,Kalamassery,1294934,35,KUNAMTHAI
272898,Mukkom,1294808,19,Mangalasseri
252215,Paravur,55912,21,STADIUM
252111,Payyannur,76282,24,KOTTY
252194,Thrissur,1293762,52,KANATTUKARA
272907,Mannarkad,1294482,23,Chanthappadi
252255,Kollam,56299,49,Cutcherry
252238,Kottayam,76181,4,PALLIPPURAM - Ward No.4
272884,Sreekandapuram,1294191,16,Cherikkodu
252208,Angamaly,1294988,25,TOWN WARD
252238,Kottayam,1293784,46,PANAMPADY - Ward No.46
252252,Pathanamthitta,76726,2,Pathanamthitta (M) - Ward No.2
252175,Ottappalam,76477,3,CHERIKKUNNE
252257,Varkala,2513097,31,JAWAHAR PARK
259707,Karunagappally,1294367,21,MUTHETHKADAV
252159,koyilandy,1294788,43,KOLLAM WEST
252234,Palai,76125,7,KAVEEKUNNU - Ward No.7
